City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,souillac,-20.52,57.52,73.4,83,40,5.82,MU,1590943077
1,rikitea,-23.12,-134.97,75.16,85,7,9.48,PF,1590943078
2,ushuaia,-54.8,-68.3,41.0,75,75,3.36,AR,1590943078
3,ahipara,-35.17,173.17,60.75,93,100,8.9,NZ,1590943078
4,castro,-24.79,-50.01,69.93,57,0,6.76,BR,1590943078
5,antigonish,45.62,-62.0,71.01,75,100,8.01,CA,1590943078
6,clyde river,70.47,-68.59,24.8,85,75,2.24,CA,1590943078
7,bluff,-46.6,168.33,42.89,76,53,7.07,NZ,1590943078
8,ocosingo,17.07,-92.25,78.8,88,90,5.82,MX,1590943078
9,karratha,-20.74,116.85,76.98,42,95,15.99,AU,1590943079
10,meulaboh,4.14,96.13,76.26,89,100,7.56,ID,1590943079
11,punta arenas,-53.15,-70.92,41.0,86,100,8.05,CL,1590943079
12,yar-sale,66.83,70.83,38.03,78,94,13.53,RU,1590943079
13,thompson,55.74,-97.86,59.0,28,40,3.36,CA,1590943079
14,barrow,71.29,-156.79,30.2,86,1,19.46,US,1590943079
15,vila velha,-20.33,-40.29,82.4,51,0,10.29,BR,1590943080
16,victoria,22.29,114.16,84.0,79,100,10.0,HK,1590943080
17,vaini,-21.2,-175.2,75.2,94,90,3.36,TO,1590943080
18,upernavik,72.79,-56.15,31.6,91,30,2.48,GL,1590943080
19,magistralnyy,56.17,107.45,49.5,83,100,3.13,RU,1590943080
20,ilo,-17.64,-71.34,70.36,71,39,11.27,PE,1590943080
21,port alfred,-33.59,26.89,66.0,55,0,2.21,ZA,1590943080
22,las vegas,36.17,-115.14,81.0,21,1,8.05,US,1590942920
23,longyearbyen,78.22,15.64,37.4,93,75,3.36,SJ,1590943081
24,tuktoyaktuk,69.45,-133.04,32.0,90,75,14.99,CA,1590943081
25,shebunino,46.43,141.86,52.54,80,0,12.62,RU,1590943081
26,dikson,73.51,80.55,31.12,98,28,17.81,RU,1590943081
27,moron,-34.65,-58.62,57.0,61,24,7.0,AR,1590943081
28,labuhan,-6.88,112.21,80.51,84,98,7.87,ID,1590943081
29,penzance,50.12,-5.54,66.2,55,70,24.16,GB,1590943081
30,mar del plata,-38.0,-57.56,53.01,81,90,18.34,AR,1590943081
31,port elizabeth,-33.92,25.57,64.51,59,0,2.57,ZA,1590942972
32,busselton,-33.65,115.33,53.01,73,36,3.27,AU,1590943082
33,avarua,-21.21,-159.78,75.2,88,99,4.7,CK,1590943082
34,lavrentiya,65.58,-171.0,43.86,61,5,14.94,RU,1590943082
35,verkhnyaya khava,51.84,39.94,60.8,63,40,8.95,RU,1590943082
36,alofi,-19.06,-169.92,77.0,88,100,11.41,NU,1590943082
37,mehamn,71.04,27.85,51.8,66,40,27.51,NO,1590943083
38,olafsvik,64.89,-23.71,45.95,71,88,13.38,IS,1590943083
39,cockburn town,21.46,-71.14,81.55,79,11,14.43,TC,1590943083
40,belyy yar,53.6,91.39,55.4,87,40,8.95,RU,1590943083
41,mataura,-46.19,168.86,36.0,83,15,2.44,NZ,1590943083
42,atuona,-9.8,-139.03,80.51,75,4,17.72,PF,1590943083
43,jerome,42.72,-114.52,64.0,36,1,8.05,US,1590943083
44,bredasdorp,-34.53,20.04,59.0,82,26,3.36,ZA,1590943084
45,necochea,-38.55,-58.74,53.01,78,100,15.99,AR,1590943084
46,korla,41.76,86.15,78.71,17,39,3.27,CN,1590942942
47,guanica,17.97,-66.91,91.99,52,0,10.0,PR,1590943084
48,nantucket,41.28,-70.1,64.4,48,1,24.16,US,1590942912
49,iqaluit,63.75,-68.51,32.0,97,90,13.87,CA,1590943084
50,new norfolk,-42.78,147.06,48.0,63,100,1.99,AU,1590943084
51,latung,5.5,120.88,84.02,72,0,4.85,PH,1590943085
52,asau,46.43,26.4,52.0,74,100,4.52,RO,1590943085
53,kapaa,22.08,-159.32,73.4,83,20,11.41,US,1590943085
54,san policarpo,12.18,125.51,82.47,80,78,10.6,PH,1590943085
55,georgetown,5.41,100.34,80.6,94,20,4.7,MY,1590943085
56,airai,-8.93,125.41,57.15,92,3,3.2,TL,1590943085
57,namatanai,-3.67,152.43,80.01,81,68,4.05,PG,1590943086
58,roald,62.58,6.13,66.99,45,0,4.7,NO,1590943086
59,puerto ayora,-0.74,-90.35,80.6,69,20,18.34,EC,1590942941
60,saint-philippe,-21.36,55.77,73.4,83,64,11.41,RE,1590943086
61,xining,36.62,101.77,54.84,44,44,1.52,CN,1590943086
62,flinders,-34.58,150.86,63.0,83,100,1.01,AU,1590943086
63,khatanga,71.97,102.5,41.95,71,46,6.02,RU,1590943086
64,butaritari,3.07,172.79,82.71,79,92,11.95,KI,1590943087
65,ketchikan,55.34,-131.65,48.2,93,90,13.87,US,1590943087
66,yellowknife,62.46,-114.35,53.6,46,75,13.87,CA,1590943087
67,san jose,37.34,-121.89,64.99,67,75,4.7,US,1590943013
68,prado,-17.34,-39.22,77.54,64,16,6.98,BR,1590943087
69,cape town,-33.93,18.42,60.8,82,19,4.7,ZA,1590942883
70,egvekinot,66.32,-179.17,39.0,73,17,10.71,RU,1590943088
71,saint george,37.1,-113.58,82.99,15,1,5.26,US,1590942951
72,klaksvik,62.23,-6.59,59.0,67,98,13.87,FO,1590943088
73,cayenne,4.93,-52.33,87.8,66,66,14.99,GF,1590943088
74,kodiak,57.79,-152.41,48.2,87,90,8.05,US,1590943088
75,mabaruma,8.2,-59.78,80.87,90,74,5.66,GY,1590943088
76,esperance,-33.87,121.9,51.8,100,40,6.93,AU,1590943089
77,logan,41.74,-111.83,73.0,53,54,4.43,US,1590943089
78,ponta do sol,32.67,-17.1,68.0,72,75,10.29,PT,1590943089
79,madras,13.09,80.28,87.8,79,20,14.99,IN,1590942853
80,east london,-33.02,27.91,70.45,53,0,5.7,ZA,1590942984
81,assiniboia,49.63,-105.98,70.75,56,51,25.41,CA,1590943089
82,jieshi,22.81,115.83,80.87,88,99,8.59,CN,1590943089
83,hit,33.64,42.83,86.38,15,0,6.4,IQ,1590943089
84,muros,42.78,-9.06,82.99,78,38,8.99,ES,1590943090
85,hermanus,-34.42,19.23,57.0,93,14,0.34,ZA,1590943090
86,nouadhibou,20.93,-17.03,75.2,69,0,18.34,MR,1590943090
87,jamestown,42.1,-79.24,52.0,61,40,11.41,US,1590942876
88,chokurdakh,70.63,147.92,37.42,76,91,1.5,RU,1590943090
89,daru,-9.08,143.21,78.71,87,77,16.2,PG,1590943091
90,srednekolymsk,67.45,153.68,47.05,61,0,5.86,RU,1590943091
91,pevek,69.7,170.31,37.06,81,0,6.98,RU,1590943091
92,kahului,20.89,-156.47,73.4,69,20,6.93,US,1590942819
93,dunedin,-45.87,170.5,48.99,79,0,1.01,NZ,1590942835
94,leningradskiy,69.38,178.42,36.99,86,0,4.09,RU,1590943091
